Model,Mean_AUC_ratio,pval_pROC,Omission_rate_at_5%,AICc,delta_AICc,W_AICc,num_parameters
M_0.4_F_qph_Set_2,1.74102636,0,0.19047619,3344.68337,664.69988,5.11E-148,96
M_0.4_F_qph_Set_3,1.791787118,0,0.181818182,3206.911245,526.9277555,4.23E-118,86
M_0.4_F_qth_Set_1,1.859397926,0,0.857142857,NA,NA,NA,190
M_0.4_F_qth_Set_2,1.869951936,0,0.476190476,NA,NA,NA,142
M_0.4_F_qth_Set_3,1.841269058,0,0.363636364,NA,NA,NA,143
M_0.4_F_pth_Set_1,1.868149857,0,0.80952381,NA,NA,NA,192
M_0.4_F_pth_Set_2,1.866947593,0,0.476190476,NA,NA,NA,150
M_0.4_F_pth_Set_3,1.850246144,0,0.318181818,NA,NA,NA,140
M_0.4_F_lqpt_Set_1,1.870851487,0,0.952380952,NA,NA,NA,188
M_0.4_F_lqpt_Set_2,1.838295894,0,0.476190476,NA,NA,NA,146
M_0.4_F_lqpt_Set_3,1.824827518,0,0.454545455,NA,NA,NA,135
M_0.4_F_lqph_Set_1,1.832361583,0,0.047619048,NA,NA,NA,135
M_0.4_F_lqph_Set_2,1.737597425,0,0.19047619,3237.576978,557.5934886,9.28E-125,92
M_0.4_F_lqph_Set_3,1.793677805,0,0.181818182,3225.139546,545.1560565,4.66E-122,87
M_0.4_F_lqth_Set_1,1.859110554,0,0.857142857,NA,NA,NA,184
M_0.4_F_lqth_Set_2,1.870953081,0,0.476190476,NA,NA,NA,142
M_0.4_F_lqth_Set_3,1.842068832,0,0.363636364,NA,NA,NA,143
M_0.4_F_lpth_Set_1,1.855431706,0,0.857142857,NA,NA,NA,192
M_0.4_F_lpth_Set_2,1.866591003,0,0.428571429,NA,NA,NA,151
M_0.4_F_lpth_Set_3,1.847768265,0,0.318181818,NA,NA,NA,140
M_0.4_F_qpth_Set_1,1.857080155,0,0.857142857,NA,NA,NA,196
M_0.4_F_qpth_Set_2,1.869641008,0,0.476190476,NA,NA,NA,150
M_0.4_F_qpth_Set_3,1.843838771,0,0.363636364,NA,NA,NA,143
M_0.4_F_lqpth_Set_1,1.857161751,0,0.904761905,NA,NA,NA,196
M_0.4_F_lqpth_Set_2,1.869756562,0,0.476190476,NA,NA,NA,150
M_0.4_F_lqpth_Set_3,1.844201423,0,0.363636364,NA,NA,NA,143
M_0.5_F_l_Set_1,1.760659183,0,0.095238095,2724.364166,44.38067581,2.58E-13,20
M_0.5_F_l_Set_2,1.674553347,0,0.142857143,2745.764421,65.78093094,5.82E-18,12
M_0.5_F_l_Set_3,1.71451467,0,0.045454545,2791.813024,111.829534,5.83E-28,10
M_0.5_F_q_Set_1,1.786213518,0,0.095238095,2693.159105,13.17561509,1.54E-06,19
M_0.5_F_q_Set_2,1.740368919,0,0.095238095,2680.186655,0.203165581,0.001013418,12
M_0.5_F_q_Set_3,1.731078726,0,0.090909091,2796.372701,116.389211,5.98E-29,11
M_0.5_F_p_Set_1,1.774520669,0,0.095238095,3142.663061,462.6795711,3.81E-104,84
M_0.5_F_p_Set_2,1.735952783,0,0.142857143,2759.834853,79.85136306,5.15E-21,41
M_0.5_F_p_Set_3,1.716209439,0,0.045454545,2836.807222,156.8237325,9.95E-38,38
M_0.5_F_t_Set_1,1.829065881,0,0.666666667,NA,NA,NA,167
M_0.5_F_t_Set_2,1.835588083,0,0.380952381,4166.819383,1486.835893,0,112
M_0.5_F_t_Set_3,1.808867211,0,0.318181818,7112.935383,4432.951893,0,122
M_0.5_F_h_Set_1,1.79258781,0,0.047619048,5360.405276,2680.421787,0,118
M_0.5_F_h_Set_2,1.748785616,0,0.047619048,3393.760177,713.7766869,1.15E-158,97
M_0.5_F_h_Set_3,1.766057035,0,0.136363636,3263.317966,583.334476,2.43E-130,88
M_0.5_F_lq_Set_1,1.807845625,0,0.095238095,2711.687855,31.70436475,1.48E-10,32
M_0.5_F_lq_Set_2,1.766375927,0,0.095238095,2690.527255,10.54376529,5.83E-06,19
